day,month,year,daily_policy_index,Date
1,1,1985,103.83,1/1/1985
2,1,1985,296.43,1/2/1985
3,1,1985,56.06,1/3/1985
4,1,1985,118.45,1/4/1985
5,1,1985,88.56,1/5/1985
6,1,1985,206.51,1/6/1985
7,1,1985,593.28,1/7/1985
8,1,1985,237.04,1/8/1985
9,1,1985,103.83,1/9/1985
10,1,1985,201.74,1/10/1985
11,1,1985,207.56,1/11/1985
12,1,1985,77.76,1/12/1985
13,1,1985,47.02,1/13/1985
14,1,1985,140.99,1/14/1985
15,1,1985,114.3,1/15/1985
16,1,1985,48.28,1/16/1985
17,1,1985,190.6,1/17/1985
18,1,1985,208.3,1/18/1985
19,1,1985,77.29,1/19/1985
20,1,1985,236.06,1/20/1985
21,1,1985,140.79,1/21/1985
22,1,1985,115.91,1/22/1985
23,1,1985,102.03,1/23/1985
24,1,1985,47.3,1/24/1985
25,1,1985,154.89,1/25/1985
26,1,1985,223.61,1/26/1985
27,1,1985,396.97,1/27/1985
28,1,1985,392.25,1/28/1985
29,1,1985,289.28,1/29/1985
30,1,1985,50.51,1/30/1985
31,1,1985,143.48,1/31/1985
1,2,1985,50.66,2/1/1985
2,2,1985,72.33,2/2/1985
3,2,1985,265.21,2/3/1985
4,2,1985,198.4,2/4/1985
5,2,1985,162.06,2/5/1985
6,2,1985,193.47,2/6/1985
7,2,1985,265.1,2/7/1985
8,2,1985,96.24,2/8/1985
9,2,1985,73.26,2/9/1985
10,2,1985,221.11,2/10/1985
11,2,1985,68.65,2/11/1985
12,2,1985,169.37,2/12/1985
13,2,1985,97.06,2/13/1985
14,2,1985,46.4,2/14/1985
15,2,1985,148.61,2/15/1985
16,2,1985,214.87,2/16/1985
17,2,1985,313.19,2/17/1985
18,2,1985,427.95,2/18/1985
19,2,1985,126.87,2/19/1985
20,2,1985,93.05,2/20/1985
21,2,1985,45.04,2/21/1985
22,2,1985,47.45,2/22/1985
23,2,1985,71.08,2/23/1985
24,2,1985,309.42,2/24/1985
25,2,1985,203.24,2/25/1985
26,2,1985,286.06,2/26/1985
27,2,1985,194.02,2/27/1985
28,2,1985,180.07,2/28/1985
1,3,1985,46.53,3/1/1985
2,3,1985,69.3,3/2/1985
3,3,1985,176.13,3/3/1985
4,3,1985,67.22,3/4/1985
5,3,1985,110.6,3/5/1985
6,3,1985,46.38,3/6/1985
7,3,1985,40.62,3/7/1985
8,3,1985,142.42,3/8/1985
9,3,1985,70.25,3/9/1985
10,3,1985,129.1,3/10/1985
11,3,1985,315.81,3/11/1985
12,3,1985,109.71,3/12/1985
13,3,1985,184.43,3/13/1985
14,3,1985,83.11,3/14/1985
15,3,1985,92.47,3/15/1985
16,3,1985,69.44,3/16/1985
17,3,1985,221.39,3/17/1985
18,3,1985,186.39,3/18/1985
19,3,1985,55.03,3/19/1985
20,3,1985,91.76,3/20/1985
21,3,1985,41.24,3/21/1985
