Date,TweetNumber
2014/04/01,12.259
2014/04/02,12.628
2014/04/03,12.927
2014/04/04,11.103
2014/04/05,9.089
2014/04/06,8.95
2014/04/07,10.246
2014/04/08,10.176
2014/04/09,11.193
2014/04/10,13.854
2014/04/11,12.997
2014/04/12,9.229
2014/04/13,10.385
2014/04/14,10.754
2014/04/15,11.053
2014/04/16,12.189
2014/04/17,11.471
2014/04/18,9.946
2014/04/19,9.389
2014/04/20,8.511
2014/04/21,9.159
2014/04/22,9.319
2014/04/23,10.176
2014/04/24,9.967
2014/04/25,9.458
2014/04/26,8.142
2014/04/27,8.601
2014/04/28,9.319
2014/04/29,8.581
2014/04/30,9.688
2014/05/01,9.341
2014/05/02,7.947
2014/05/03,7.389
2014/05/04,7.25
2014/05/05,9.202
2014/05/06,8.644
2014/05/07,8.226
2014/05/08,8.086
2014/05/09,9.202
2014/05/10,6.971
2014/05/11,7.111
2014/05/12,7.25
2014/05/13,8.365
2014/05/14,8.086
2014/05/15,7.668
2014/05/16,8.784
2014/05/17,7.529
2014/05/18,7.25
2014/05/19,7.529
2014/05/20,8.784
2014/05/21,9.202
2014/05/22,9.76
2014/05/23,9.062
2014/05/24,7.947
2014/05/25,8.784
2014/05/26,10.457
2014/05/27,9.202
2014/05/28,10.038
2014/05/29,10.038
2014/05/30,10.038
2014/05/31,9.062
2014/06/01,9.899
2014/06/02,8.923
2014/06/03,10.875
2014/06/04,9.202
2014/06/05,9.202
2014/06/06,8.365
2014/06/07,7.668
2014/06/08,7.529
2014/06/09,6.553
2014/06/10,8.923
2014/06/11,9.202
2014/06/12,10.038
2014/06/13,10.875
2014/06/14,9.062
2014/06/15,8.923
2014/06/16,9.341
2014/06/17,9.76
2014/06/18,9.202
2014/06/19,8.784
2014/06/20,7.808
2014/06/21,6.971
2014/06/22,7.668
2014/06/23,6.832
2014/06/24,7.111
2014/06/25,6.692
2014/06/26,6.832
2014/06/27,8.505
2014/06/28,6.971
2014/06/29,7.389
2014/06/30,8.784
2014/07/01,8.806
2014/07/02,9.429
2014/07/03,8.425
2014/07/04,7.513
2014/07/05,6.56
2014/07/06,7.532
2014/07/07,8.615
2014/07/08,8.016
2014/07/09,7.314
2014/07/10,8.067
2014/07/11,7.746
2014/07/12,6.993
2014/07/13,6.672
2014/07/14,7.211
2014/07/15,7.802
2014/07/16,8.657
2014/07/17,8.815
2014/07/18,8.206
2014/07/19,8.513
2014/07/20,8.174
2014/07/21,8.095
2014/07/22,8.337
2014/07/23,7.351
2014/07/24,8.164
2014/07/25,7.383
2014/07/26,6.914
2014/07/27,7.374
2014/07/28,7.644
2014/07/29,7.374
2014/07/30,7.946
2014/07/31,8.155
2014/08/01,7.377
2014/08/02,6.531
2014/08/03,6.893
2014/08/04,7.014
2014/08/05,7.982
2014/08/06,8.345
2014/08/07,8.707
2014/08/08,7.74
2014/08/09,6.772
2014/08/10,7.498
2014/08/11,7.74
2014/08/12,8.103
2014/08/13,11.852
2014/08/14,9.796
2014/08/15,9.554
2014/08/16,9.554
2014/08/17,8.224
2014/08/18,10.159
2014/08/19,8.587
2014/08/20,8.587
2014/08/21,7.861
2014/08/22,7.982
2014/08/23,7.982
2014/08/24,7.982
2014/08/25,7.377
2014/08/26,7.498
2014/08/27,7.498
2014/08/28,7.377
2014/08/29,7.135
2014/08/30,7.377
2014/08/31,7.74
2014/09/01,9.07
2014/09/02,7.982
2014/09/03,8.103
2014/09/04,8.345
2014/09/05,8.345
2014/09/06,7.377
2014/09/07,7.498
2014/09/08,8.103
2014/09/09,9.07
2014/09/10,10.763
2014/09/11,12.094
2014/09/12,9.07
2014/09/13,6.893
2014/09/14,8.103
2014/09/15,8.224
2014/09/16,7.498
2014/09/17,7.619
2014/09/18,7.619
2014/09/19,9.675
2014/09/20,7.377
2014/09/21,7.498
2014/09/22,7.982
2014/09/23,8.707
2014/09/24,10.159
2014/09/25,8.466
2014/09/26,7.982
2014/09/27,7.014
2014/09/28,7.619
2014/09/29,8.828
2014/09/30,8.345
2014/10/01,7.415
2014/10/02,7.943
2014/10/03,8.366
2014/10/04,8.332
2014/10/05,10.132
2014/10/06,11.256
2014/10/07,9.785
2014/10/08,8.592
2014/10/09,8.86
2014/10/10,8.064
2014/10/11,7.717
2014/10/12,7.268
2014/10/13,8.03
2014/10/14,8.929
2014/10/15,9.076
2014/10/16,8.064
2014/10/17,7.623
2014/10/18,7.502
2014/10/19,7
2014/10/20,6.853
2014/10/21,6.974
2014/10/22,7.328
2014/10/23,7.709
