Day,Bitcoin,Ethereum,Crypto,USD,Stock
5/1/2017,12,4,1,44,77
5/2/2017,12,3,1,48,87
5/3/2017,13,3,1,50,83
5/4/2017,16,4,1,50,85
5/5/2017,15,4,1,47,80
5/6/2017,13,3,1,36,42
5/7/2017,13,2,1,37,38
5/8/2017,14,3,1,50,79
5/9/2017,20,4,1,50,86
5/10/2017,18,3,1,48,88
5/11/2017,19,3,1,48,91
5/12/2017,23,2,1,46,80
5/13/2017,23,3,1,34,39
5/14/2017,20,2,1,34,35
5/15/2017,27,3,1,49,75
5/16/2017,25,2,1,48,83
5/17/2017,22,2,1,50,88
5/18/2017,18,2,1,47,84
5/19/2017,20,5,1,46,76
5/20/2017,20,4,1,34,42
5/21/2017,22,6,1,36,36
5/22/2017,34,10,2,47,75
5/23/2017,34,8,2,46,79
5/24/2017,39,11,2,50,77
5/25/2017,50,11,2,51,84
5/26/2017,41,7,2,48,75
5/27/2017,34,6,1,39,40
5/28/2017,25,6,1,35,33
5/29/2017,27,6,2,42,44
5/30/2017,26,8,1,47,72
5/31/2017,26,9,1,48,78
6/1/2017,24,8,2,47,78
6/2/2017,22,7,1,44,79
6/3/2017,19,6,1,37,42
6/4/2017,19,7,2,34,37
6/5/2017,22,7,2,47,72
6/6/2017,31,9,2,50,78
6/7/2017,27,9,2,48,78
6/8/2017,24,7,2,50,76
6/9/2017,23,7,2,49,81
6/10/2017,21,10,2,36,42
6/11/2017,22,13,2,38,35
6/12/2017,30,19,3,50,77
6/13/2017,26,15,2,52,81
6/14/2017,25,14,2,49,77
6/15/2017,31,15,3,51,77
6/16/2017,24,11,2,46,89
6/17/2017,22,9,2,35,45
6/18/2017,20,8,2,33,38
6/19/2017,20,8,2,49,81
6/20/2017,22,9,2,51,81
6/21/2017,23,13,2,49,83
6/22/2017,22,13,2,46,86
6/23/2017,20,11,2,46,79
6/24/2017,19,9,2,36,41
6/25/2017,20,11,2,35,36
6/26/2017,24,15,2,43,73
6/27/2017,25,12,2,46,82
6/28/2017,26,11,2,50,77
6/29/2017,21,8,2,50,79
6/30/2017,18,7,2,46,74
7/1/2017,18,6,2,39,41
7/2/2017,19,6,2,36,36
7/3/2017,18,6,2,47,66
7/4/2017,17,6,2,48,53
7/5/2017,18,7,2,48,73
7/6/2017,19,6,2,48,79
7/7/2017,18,6,1,46,79
7/8/2017,17,6,2,36,40
7/9/2017,17,5,1,39,38
7/10/2017,20,9,2,50,75
7/11/2017,22,11,2,50,78
7/12/2017,21,8,2,51,82
7/13/2017,20,7,2,47,78
7/14/2017,18,6,2,46,79
7/15/2017,22,6,2,37,42
7/16/2017,25,8,2,38,36
7/17/2017,24,8,2,47,77
7/18/2017,23,8,2,55,82
7/19/2017,21,8,1,51,81
7/20/2017,24,8,1,50,83
7/21/2017,23,6,1,47,76
7/22/2017,20,5,2,38,41
7/23/2017,22,5,2,37,34
7/24/2017,21,6,2,50,75
7/25/2017,22,5,2,52,87
7/26/2017,21,5,2,51,93
7/27/2017,20,5,2,49,100
7/28/2017,22,5,1,49,84
7/29/2017,18,4,2,40,43
7/30/2017,18,4,2,37,40
7/31/2017,24,4,1,51,81
8/1/2017,42,6,2,49,94
8/2/2017,37,5,2,54,99
8/3/2017,26,4,2,51,89
8/4/2017,24,4,2,48,84
8/5/2017,30,5,2,41,45
8/6/2017,25,6,2,38,40
8/7/2017,31,6,2,50,78
8/8/2017,29,7,2,52,85
8/9/2017,27,7,2,50,83
8/10/2017,28,6,2,51,88
8/11/2017,27,5,3,50,81
8/12/2017,33,5,2,38,43
8/13/2017,37,6,3,39,37
8/14/2017,45,7,2,52,77
8/15/2017,44,6,2,51,79
8/16/2017,37,6,3,53,80
8/17/2017,37,7,3,51,78
8/18/2017,38,5,3,45,74
8/19/2017,33,5,2,35,40
8/20/2017,31,4,2,36,35
8/21/2017,31,6,2,46,65
8/22/2017,35,6,3,49,78
8/23/2017,32,5,3,50,74
8/24/2017,31,5,3,50,75
8/25/2017,31,5,2,45,69
8/26/2017,27,4,3,34,38
8/27/2017,25,4,2,37,31
8/28/2017,28,5,2,51,70
8/29/2017,32,6,3,53,74
8/30/2017,34,7,3,51,75
8/31/2017,37,6,3,53,78
9/1/2017,38,8,4,49,74
9/2/2017,38,7,3,39,39
9/3/2017,32,5,3,38,35
9/4/2017,40,8,3,47,43
9/5/2017,42,8,3,53,73
9/6/2017,35,6,3,52,72
9/7/2017,33,5,3,51,78
9/8/2017,34,6,3,50,74
9/9/2017,27,4,3,38,41
9/10/2017,30,4,2,38,36
9/11/2017,33,5,2,47,78
9/12/2017,32,5,3,53,87
9/13/2017,43,7,3,58,82
9/14/2017,53,6,3,52,84
9/15/2017,59,7,3,55,81
9/16/2017,39,4,3,39,42
9/17/2017,32,4,2,38,36
9/18/2017,39,5,3,51,82
9/19/2017,34,5,3,50,85
9/20/2017,29,4,3,49,82
9/21/2017,30,5,2,48,83
9/22/2017,28,3,2,47,77
9/23/2017,23,4,2,36,41
9/24/2017,21,3,2,36,38
9/25/2017,26,3,2,51,76
9/26/2017,24,4,3,50,81
9/27/2017,26,4,2,51,79
9/28/2017,25,4,2,50,81
9/29/2017,25,3,2,47,80
9/30/2017,22,3,2,37,42
10/1/2017,7,1,1,11,11
10/2/2017,8,1,1,15,24
10/3/2017,8,1,1,16,32
10/4/2017,7,1,1,15,35
10/5/2017,8,1,1,14,37
10/6/2017,7,1,1,14,31
10/7/2017,7,1,1,11,15
10/8/2017,7,1,1,11,15
10/9/2017,9,1,1,15,24
10/10/2017,9,1,1,15,27
10/11/2017,9,1,1,15,27
10/12/2017,15,2,1,16,27
10/13/2017,18,2,1,15,26
10/14/2017,13,2,1,11,13
10/15/2017,12,2,1,11,13
10/16/2017,11,2,1,16,25
